time,tavg,prcp,wspd,pres,City,number
2024-01-01,2.7,8.9,15.29077006748564,1009.2,Kraków,1
2024-01-02,4.9,9.9,9.7,1008.0,Kraków,2
2024-01-03,7.4,5.5,19.2,997.5,Kraków,3
2024-01-04,6.6,4.66014092335027,25.5,1013.9395392369522,Kraków,4
2024-01-05,-1.6296765305486058,5.8,14.4,1009.8,Kraków,5
2024-01-06,1.1,7.4,13.4,1009.2,Kraków,6
2024-01-07,-4.4,7.4,17.3,1015.9,Kraków,7
2024-01-08,-10.1,0.5,12.2,1029.2,Kraków,8
2024-01-09,-14.5,0.0,12.2,1015.4024381825978,Kraków,9
2024-01-10,-13.3,0.0,4.4,1036.1,Kraków,10
2024-01-11,-5.3,1.9,16.5,1027.2,Kraków,11
2024-01-12,-2.6,0.0,16.664749128997578,1026.4,Kraków,12
2024-01-13,-0.7944607524242204,0.0,26.4,1016.3613537537911,Kraków,13
2024-01-14,0.1,3.7,27.0,1005.8,Kraków,14
2024-01-15,-0.5387244749439428,0.3,16.690263075162143,1016.7727806370182,Kraków,15
2024-01-16,-1.6,3.137632053559128,20.5,1007.2,Kraków,16
2024-01-17,-5.0,0.0,10.1,1004.3,Kraków,17
2024-01-18,2.3,0.0,16.592135599329755,1017.3073746787425,Kraków,18
2024-01-19,-1.8,3.0,16.534331391310737,1015.8,Kraków,19
2024-01-20,0.167823949573489,2.7810155864790547,24.8,1017.6100321781048,Kraków,20
2024-01-21,-0.2,0.0,7.7,1017.745571681896,Kraków,21
2024-01-22,0.4,0.3,9.2,1017.8707327162698,Kraków,22
2024-01-23,3.2,3.6,16.19124401017446,1023.3,Kraków,23
2024-01-24,0.7909337926363542,0.5,22.0,1017.8,Kraków,24
2024-01-25,5.7,8.4,35.4,1017.3,Kraków,25
2024-01-26,1.118026799234662,2.3659780804907657,12.8,1022.8,Kraków,26
2024-01-27,1.2848608697267618,2.8,15.693652206907469,1026.6,Kraków,27
2024-01-28,1.8,3.0,7.7,1038.2,Kraków,28
2024-01-29,0.4,0.0,5.0,1038.4,Kraków,29
2024-01-30,0.2,2.160060768372371,3.7,1035.9,Kraków,30
2024-01-31,0.3,0.4,7.6,1018.5484280973908,Kraków,31
2024-02-01,2.145084561845022,0.0,17.2,1024.4,Kraków,32
2024-02-02,2.32114606005268,1.5,14.728993374911587,1025.3,Kraków,33
2024-02-03,2.4981485088058246,0.3,29.7,1018.2,Kraków,34
2024-02-04,2.6759213497976635,3.3,14.365560434597935,1015.0,Kraków,35
2024-02-05,7.9,16.0,32.6,1009.9,Kraków,36
2024-02-06,8.2,8.6,13.987989845117212,1010.3,Kraków,37
2024-02-07,6.9,1.8898489677435237,35.3,1003.5,Kraków,38
2024-02-08,1.3,10.8,9.2,1005.1,Kraków,39
2024-02-09,3.3,1.847225553564257,8.6,1018.4751918701569,Kraków,40
2024-02-10,3.7491853675809015,6.9,7.5,996.8,Kraków,41
2024-02-11,3.9275753216534133,3.3,13.008995405459391,995.0,Kraków,42
2024-02-12,7.7,1.7988012710882,12.5,1002.1,Kraków,43
2024-02-13,4.6,0.0,11.3,1016.7,Kraków,44
2024-02-14,4.2,0.0,4.5,1023.9,Kraków,45
2024-02-15,6.9,1.7666370254227868,3.3,1023.3,Kraków,46
2024-02-16,4.807202812645458,0.0,5.6,1022.7,Kraków,47
2024-02-17,5.7,1.0,12.0,1026.4,Kraków,48
2024-02-18,3.6,0.0,11.654234601803571,1033.3,Kraków,49
2024-02-19,3.4,1.0,13.8,1022.3,Kraków,50
2024-02-20,6.3,2.8,11.291979931192921,1022.6,Kraków,51
2024-02-21,5.3,0.5,11.11754011754561,1021.4,Kraków,52
2024-02-22,6.4,0.0,8.0,1006.5,Kraków,53
2024-02-23,8.2,1.7402282536071856,7.0,1001.5,Kraków,54
2024-02-24,7.8,0.2,10.627092877327149,1007.1,Kraków,55
2024-02-25,6.9,0.0,7.4,1016.741922679401,Kraków,56
2024-02-26,7.8,0.0,7.3,1008.4,Kraków,57
2024-02-27,10.4,0.0,10.196667637853842,1013.7,Kraków,58
2024-02-28,10.3,0.3,5.9,1018.9,Kraków,59
2024-02-29,8.9,0.3,11.6,1020.4,Kraków,60
2024-03-01,7.6,0.0,12.1,1012.6,Kraków,61
2024-03-02,7.143776269784471,0.0,7.3,1011.7,Kraków,62
2024-03-03,9.5,0.0,12.2,1009.9,Kraków,63
2024-03-04,8.5,2.5,11.9,1008.9,Kraków,64
2024-03-05,6.4,1.7697706174849466,6.5,1014.2,Kraków,65
2024-03-06,7.63842784907793,4.3,9.5,1021.6,Kraków,66
2024-03-07,7.750798455721624,3.8,20.4,1024.4,Kraków,67
2024-03-08,1.5,1.7759633069254854,11.7,1023.1,Kraków,68
2024-03-09,2.6,1.7768695785003699,11.0,1014.0872305597035,Kraków,69
2024-03-10,7.6,0.0,16.4,1010.3,Kraków,70
2024-03-11,8.5,4.4,9.361115204430536,1008.6,Kraków,71
2024-03-12,7.1,3.8,9.5,1010.8,Kraków,72
2024-03-13,6.6,5.6,8.0,1016.8,Kraków,73
2024-03-14,4.9,1.0,6.8,1018.9,Kraków,74
2024-03-15,5.2,0.0,8.4,1016.9,Kraków,75
2024-03-16,9.4,1.0,9.4,1015.7,Kraków,76
2024-03-17,6.1,1.7491586843595317,21.2,1021.3,Kraków,77
2024-03-18,8.62872219686802,0.0,10.4,1020.7,Kraków,78
2024-03-19,3.6,0.0,7.1,1023.2,Kraków,79
2024-03-20,8.707452216840979,0.0,5.7,1023.6,Kraków,80
2024-03-21,8.736289571170223,0.0,5.3,1021.0,Kraków,81
2024-03-22,9.8,0.0,10.56702855357183,1010.5771505035391,Kraków,82
2024-03-23,10.4,0.0,10.789116723769116,1006.9,Kraków,83
2024-03-24,4.5,4.8,11.9,1006.3,Kraków,84
2024-03-25,3.8,1.623738795487304,9.4,1009.671355663759,Kraków,85
2024-03-26,5.3,1.5986911153366643,10.7,1009.3626980900553,Kraków,86
2024-03-27,10.9,0.0,14.1,997.9,Kraków,87
2024-03-28,12.2,11.0,15.0,994.5,Kraków,88
2024-03-29,11.6,1.508701513088492,14.0,1006.8,Kraków,89
2024-03-30,8.649295595193767,0.0,8.6,1006.3,Kraków,90
2024-03-31,17.9,0.0,12.7,1003.6,Kraków,91
