time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,City
2024-01-01,1.9,1.0,3.0,2.2,,161.0,10.4,22.2,1004.6,,Gdańsk
2024-01-02,1.5,0.0,3.0,2.0,,92.0,9.9,24.1,1003.2,,Gdańsk
2024-01-03,-1.8,-4.0,0.0,19.1,,98.0,19.5,27.8,992.8,,Gdańsk
2024-01-04,-3.8,-4.0,-3.0,7.6,,40.0,15.3,31.5,993.3,,Gdańsk
2024-01-05,-5.7,-9.0,-4.0,0.0,,284.0,12.9,29.6,1007.5,,Gdańsk
2024-01-06,-3.2,-7.0,-1.0,0.0,,61.0,8.8,16.7,1014.6,,Gdańsk
2024-01-07,-7.3,-9.0,-4.0,0.0,,73.0,17.4,20.4,1023.8,,Gdańsk
2024-01-08,-8.9,-13.0,-6.0,0.0,,35.0,11.2,14.8,1033.8,,Gdańsk
2024-01-09,-5.6,-13.0,-2.0,0.0,,272.0,15.3,25.9,1033.9,,Gdańsk
2024-01-10,-0.7,-2.0,0.0,0.0,,280.0,27.6,35.2,1028.8,,Gdańsk
2024-01-11,1.1,0.0,2.0,0.0,,319.0,25.2,37.0,1021.9,,Gdańsk
2024-01-12,0.0,-3.0,2.0,0.0,,282.0,23.9,42.6,1019.9,,Gdańsk
2024-01-13,0.6,0.0,1.0,1.7,,251.0,20.3,37.0,1006.0,,Gdańsk
2024-01-14,1.3,1.0,2.0,2.0,,265.0,25.4,40.8,992.1,,Gdańsk
2024-01-15,-0.8,-4.0,1.0,4.5,,255.0,29.5,53.7,983.3,,Gdańsk
2024-01-16,-7.1,-12.0,-5.0,0.0,,269.0,18.1,46.3,1001.1,,Gdańsk
2024-01-17,-4.2,-9.0,-1.0,0.0,,167.0,17.7,33.3,997.5,,Gdańsk
2024-01-18,-2.5,-4.0,0.0,0.0,,257.0,12.1,25.9,991.6,,Gdańsk
2024-01-19,-2.1,-4.0,0.0,0.0,,245.0,23.3,37.0,1005.6,,Gdańsk
2024-01-20,0.5,-2.0,2.0,8.8,,274.0,25.7,55.5,1014.5,,Gdańsk
2024-01-21,0.2,-3.0,1.0,0.0,,197.0,18.9,35.2,1023.5,,Gdańsk
2024-01-22,2.8,1.0,5.0,1.5,,210.0,27.4,46.3,1007.4,,Gdańsk
2024-01-23,4.2,3.0,5.0,0.1,,247.0,28.6,42.6,1009.8,,Gdańsk
2024-01-24,4.8,2.0,7.0,13.0,,243.0,33.7,59.3,1000.7,,Gdańsk
2024-01-25,2.8,1.0,5.0,9.6,,306.0,32.2,59.3,1009.6,,Gdańsk
2024-01-26,1.9,1.0,4.0,4.5,,244.0,17.6,38.9,1016.0,,Gdańsk
2024-01-27,2.6,1.0,4.0,5.1,,296.0,28.8,46.3,1019.5,,Gdańsk
2024-01-28,3.5,1.0,5.0,0.0,,247.0,13.7,24.1,1033.0,,Gdańsk
2024-01-29,3.0,0.0,6.0,0.0,,207.0,13.7,27.8,1030.2,,Gdańsk
2024-01-30,2.8,0.0,7.0,0.0,,226.0,10.7,20.4,1026.6,,Gdańsk
2024-01-31,3.6,1.0,6.0,0.0,,248.0,21.6,37.0,1022.6,,Gdańsk
2024-02-01,3.3,1.0,5.0,1.1,,266.0,35.2,59.3,1012.6,,Gdańsk
2024-02-02,3.4,2.0,6.0,1.4,,261.0,29.5,46.3,1013.8,,Gdańsk
2024-02-03,7.1,6.0,9.0,0.0,,279.0,50.9,68.5,1004.9,,Gdańsk
2024-02-04,4.7,4.0,6.0,7.4,,276.0,42.1,61.1,1002.5,,Gdańsk
