time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,City
2024-01-01,2.7,0.5,4.7,8.9,,260.0,12.8,35.2,1009.2,,Kraków
2024-01-02,4.9,2.9,7.0,9.9,,193.0,9.7,29.6,1008.0,,Kraków
2024-01-03,7.4,4.1,10.2,5.5,,223.0,19.2,44.5,997.5,,Kraków
2024-01-04,6.6,3.1,9.2,7.1,,235.0,25.5,53.7,998.6,,Kraków
2024-01-05,1.3,0.0,6.5,5.8,,25.0,14.4,46.3,1009.8,,Kraków
2024-01-06,1.1,-0.7,2.8,7.4,,41.0,13.4,33.3,1009.2,,Kraków
2024-01-07,-4.4,-6.9,0.8,7.4,51.0,23.0,17.3,33.3,1015.9,,Kraków
2024-01-08,-10.1,-13.9,-6.3,0.5,130.0,27.0,12.2,29.6,1029.2,,Kraków
2024-01-09,-14.5,-17.5,-10.5,0.0,109.0,36.0,12.2,29.6,1038.9,,Kraków
2024-01-10,-13.3,-18.1,-6.5,0.0,,242.0,4.4,13.0,1036.1,,Kraków
2024-01-11,-5.3,-12.2,-1.3,1.9,,223.0,16.5,37.0,1027.2,,Kraków
2024-01-12,-2.6,-4.5,-1.2,0.0,,257.0,16.8,44.5,1026.4,,Kraków
2024-01-13,-0.8,-2.6,0.1,0.0,99.0,233.0,26.4,44.5,1017.8,,Kraków
2024-01-14,0.1,-1.4,1.1,3.7,,229.0,27.0,46.3,1005.8,,Kraków
2024-01-15,0.5,-0.4,1.2,0.3,109.0,223.0,27.2,48.2,998.1,,Kraków
2024-01-16,-1.6,-5.1,0.6,0.5,109.0,231.0,20.5,40.8,1007.2,,Kraków
2024-01-17,-5.0,-12.3,0.2,0.0,,23.0,10.1,22.2,1004.3,,Kraków
2024-01-18,2.3,-1.9,6.3,0.0,89.0,273.0,8.1,24.1,993.9,,Kraków
2024-01-19,-1.8,-3.8,1.2,3.0,51.0,244.0,13.4,27.8,1015.8,,Kraków
2024-01-20,-1.2,-3.1,1.2,0.0,41.0,236.0,24.8,44.5,1027.6,,Kraków
2024-01-21,-0.2,-2.6,3.3,0.0,30.0,67.0,7.7,35.2,1033.1,,Kraków
2024-01-22,0.4,-7.4,7.9,0.3,,256.0,9.2,37.0,1023.6,,Kraków
2024-01-23,3.2,1.3,6.2,3.6,,222.0,14.6,38.9,1023.3,,Kraków
2024-01-24,5.2,-2.1,10.1,0.5,,230.0,22.0,57.4,1017.8,,Kraków
2024-01-25,5.7,4.0,7.7,8.4,,263.0,35.4,61.1,1017.3,,Kraków
2024-01-26,3.2,2.0,5.4,3.1,,242.0,12.8,35.2,1022.8,,Kraków
2024-01-27,3.2,1.7,6.0,2.8,,264.0,27.6,53.7,1026.6,,Kraków
2024-01-28,1.8,-1.1,4.0,3.0,,250.0,7.7,27.8,1038.2,,Kraków
2024-01-29,0.4,-3.9,7.3,0.0,,36.0,5.0,13.0,1038.4,,Kraków
2024-01-30,0.2,-5.5,8.5,0.0,,236.0,3.7,13.0,1035.9,,Kraków
2024-01-31,0.3,-3.9,3.3,0.4,,211.0,7.6,22.2,1033.4,,Kraków
2024-02-01,2.9,-2.0,6.2,0.0,,231.0,17.2,40.8,1024.4,,Kraków
2024-02-02,3.9,2.0,6.0,1.5,,240.0,19.8,37.0,1025.3,,Kraków
2024-02-03,7.1,3.4,8.3,0.3,,236.0,29.7,51.8,1018.2,,Kraków
2024-02-04,7.1,6.1,8.3,3.3,,250.0,29.1,50.0,1015.0,,Kraków
2024-02-05,7.9,4.9,9.7,16.0,,241.0,32.6,55.5,1009.9,,Kraków
2024-02-06,8.2,6.3,10.4,8.6,,232.0,32.7,53.7,1010.3,,Kraków
2024-02-07,6.9,0.8,10.1,0.0,,235.0,35.3,66.7,1003.5,,Kraków
2024-02-08,1.3,0.3,2.5,10.8,,95.0,9.2,24.1,1005.1,,Kraków
2024-02-09,3.3,1.6,5.9,2.5,,33.0,8.6,24.1,998.6,,Kraków
2024-02-10,6.8,2.6,12.1,6.9,,29.0,7.5,20.4,996.8,,Kraków
2024-02-11,8.2,5.1,10.0,3.3,,28.0,7.2,24.1,995.0,,Kraków
2024-02-12,7.7,4.4,10.1,3.8,,228.0,12.5,33.3,1002.1,,Kraków
2024-02-13,4.6,1.2,7.9,0.0,,253.0,11.3,35.2,1016.7,,Kraków
2024-02-14,4.2,-0.1,15.0,0.0,,230.0,4.5,18.5,1023.9,,Kraków
2024-02-15,6.9,3.3,13.3,0.0,,30.0,3.3,14.8,1023.3,,Kraków
2024-02-16,6.3,-0.4,15.1,0.0,,29.0,5.6,18.5,1022.7,,Kraków
2024-02-17,5.7,1.0,8.8,1.0,,244.0,12.0,29.6,1026.4,,Kraków
2024-02-18,3.6,-0.6,7.6,0.0,,324.0,10.5,24.1,1033.3,,Kraków
2024-02-19,3.4,-2.6,9.0,1.0,,320.0,13.8,38.9,1022.3,,Kraków
2024-02-20,6.3,5.3,9.4,2.8,,238.0,17.7,38.9,1022.6,,Kraków
2024-02-21,5.3,2.2,9.0,0.5,,222.0,11.3,35.2,1021.4,,Kraków
2024-02-22,6.4,-0.3,12.4,0.0,,81.0,8.0,24.1,1006.5,,Kraków
2024-02-23,8.2,7.0,10.4,0.5,,75.0,7.0,22.2,1001.5,,Kraków
2024-02-24,7.8,3.8,10.5,0.2,,326.0,11.9,37.0,1007.1,,Kraków
2024-02-25,6.9,-1.2,14.3,0.0,,53.0,7.4,22.2,1011.0,,Kraków
2024-02-26,7.8,0.3,15.1,0.0,,45.0,7.3,24.1,1008.4,,Kraków
2024-02-27,10.4,3.7,17.7,0.0,,36.0,7.1,20.4,1013.7,,Kraków
2024-02-28,10.3,8.5,13.6,0.3,,238.0,5.9,22.2,1018.9,,Kraków
2024-02-29,8.9,6.9,12.8,0.3,,42.0,11.6,29.6,1020.4,,Kraków
2024-03-01,7.6,3.6,12.1,0.0,,45.0,12.1,25.9,1012.6,,Kraków
2024-03-02,7.6,4.2,11.3,0.0,,39.0,7.3,20.4,1011.7,,Kraków
2024-03-03,9.5,4.4,15.9,0.0,,42.0,12.2,27.8,1009.9,,Kraków
2024-03-04,8.5,3.4,12.8,2.5,,35.0,11.9,25.9,1008.9,,Kraków
2024-03-05,6.4,3.7,10.6,1.0,,356.0,6.5,16.7,1014.2,,Kraków
2024-03-06,1.8,-1.4,6.4,4.3,,352.0,9.5,29.6,1021.6,,Kraków
2024-03-07,1.9,1.0,4.1,3.8,,42.0,20.4,35.2,1024.4,,Kraków
2024-03-08,1.5,-1.5,5.6,0.0,,73.0,11.7,29.6,1023.1,,Kraków
2024-03-09,2.6,-2.6,9.6,0.0,,37.0,11.0,24.1,1016.9,,Kraków
2024-03-10,7.6,2.4,13.8,0.0,,47.0,16.4,37.0,1010.3,,Kraków
2024-03-11,8.5,6.9,10.7,4.4,,41.0,18.9,37.0,1008.6,,Kraków
2024-03-12,7.1,6.5,8.6,3.8,,351.0,9.5,29.6,1010.8,,Kraków
2024-03-13,6.6,6.0,8.4,5.6,,303.0,8.0,20.4,1016.8,,Kraków
2024-03-14,4.9,0.9,9.3,1.0,,67.0,6.8,18.5,1018.9,,Kraków
2024-03-15,5.2,-2.1,12.5,0.0,,32.0,8.4,18.5,1016.9,,Kraków
2024-03-16,9.4,3.7,16.3,1.0,,244.0,9.4,35.2,1015.7,,Kraków
2024-03-17,6.1,3.3,10.4,3.8,,272.0,21.2,44.5,1021.3,,Kraków
2024-03-18,1.8,0.3,5.5,0.0,,295.0,10.4,25.9,1020.7,,Kraków
2024-03-19,3.6,0.3,8.6,0.0,,321.0,7.1,18.5,1023.2,,Kraków
2024-03-20,5.1,-2.6,12.7,0.0,,347.0,5.7,18.5,1023.6,,Kraków
2024-03-21,7.7,0.3,14.7,0.0,,38.0,5.3,18.5,1021.0,,Kraków
2024-03-22,9.8,7.4,12.2,0.0,,237.0,10.9,29.6,1017.7,,Kraków
2024-03-23,10.4,4.9,20.4,0.0,,260.0,14.3,57.4,1006.9,,Kraków
2024-03-24,4.5,1.4,8.4,4.8,,246.0,11.9,33.3,1006.3,,Kraków
2024-03-25,3.8,0.6,7.5,1.5,,233.0,9.4,38.9,1006.1,,Kraków
2024-03-26,5.3,-2.5,14.9,3.6,,65.0,10.7,31.5,1007.0,,Kraków
2024-03-27,10.9,2.8,18.8,0.0,,67.0,14.1,33.3,997.9,,Kraków
2024-03-28,12.2,9.0,16.0,11.0,,170.0,15.0,48.2,994.5,,Kraków
2024-03-29,11.6,5.0,18.0,1.7,,232.0,14.0,35.2,1006.8,,Kraków
2024-03-30,15.7,5.0,24.0,0.0,,84.0,8.6,29.6,1006.3,,Kraków
2024-03-31,17.9,9.0,24.2,0.0,,156.0,12.7,37.0,1003.6,,Kraków
