time,tavg,prcp,wspd,pres,City,number
2024-01-01,2.8,12.5,7.9,1006.7,Warszawa,1
2024-01-02,4.5,1.1,9.0,1005.9,Warszawa,2
2024-01-03,5.4,10.4,9.8,993.9,Warszawa,3
2024-01-04,-3.5966345063959326,13.5,11.636478944465132,1013.8184276029675,Warszawa,4
2024-01-05,-1.8,2.8,13.7,1009.8,Warszawa,5
2024-01-06,-2.4,1.3,17.1,1013.6,Warszawa,6
2024-01-07,-7.3,4.843823805297433,18.2,1020.8,Warszawa,7
2024-01-08,-11.3,4.68286653806515,15.9,1013.8390301176382,Warszawa,8
2024-01-09,-10.9,0.0,4.9,1038.3,Warszawa,9
2024-01-10,-7.3,4.377788667937566,11.6,1032.8,Warszawa,10
2024-01-11,-3.3,0.0,17.9,1022.6,Warszawa,11
2024-01-12,-3.4,1.0,14.3,1022.8,Warszawa,12
2024-01-13,-0.2,1.7,16.1,1011.9,Warszawa,13
2024-01-14,1.2,3.8318943920552186,15.6,1014.1063655575072,Warszawa,14
2024-01-15,-0.049133934430313,3.3,14.6,991.4,Warszawa,15
2024-01-16,-5.5,3.589315018886109,14.868475641032214,1004.5,Warszawa,16
2024-01-17,-3.7,1.0,11.6,1003.8,Warszawa,17
2024-01-18,0.7124015205245451,0.9,11.4,1014.4050243036235,Warszawa,18
2024-01-19,-2.1,3.2609264921711034,13.8,1012.3,Warszawa,19
2024-01-20,-0.4,3.160484383556157,17.4,1014.5809221002187,Warszawa,20
2024-01-21,-1.3,0.0,8.2,1031.0,Warszawa,21
2024-01-22,2.5,0.3,15.486483840219147,1018.6,Warszawa,22
2024-01-23,1.813217208758406,0.0,11.7,1017.6,Warszawa,23
2024-01-24,5.2,14.0,15.8,1010.5,Warszawa,24
2024-01-25,4.3,9.9,26.6,1010.6,Warszawa,25
2024-01-26,1.4,2.8,13.2,1020.3,Warszawa,26
2024-01-27,3.3,4.6,20.7,1021.4,Warszawa,27
2024-01-28,3.0,2.5034540131284864,15.589699007021999,1036.3,Warszawa,28
2024-01-29,2.9,0.3,15.564779625287974,1036.9,Warszawa,29
2024-01-30,2.1,0.0,6.3,1032.7,Warszawa,30
2024-01-31,3.197406990246976,0.0,9.6,1028.5,Warszawa,31
2024-02-01,4.3,2.261150538716006,15.428266223818047,1018.8,Warszawa,32
2024-02-02,3.9,0.8,15.8,1015.909969478893,Warszawa,33
2024-02-03,7.9,0.8,25.2,1016.0106626434388,Warszawa,34
2024-02-04,6.0,0.0,22.8,1008.4,Warszawa,35
2024-02-05,6.0,4.8,22.1,1003.2,Warszawa,36
2024-02-06,8.3,8.4,21.5,1002.1,Warszawa,37
2024-02-07,4.9,6.1,14.924382559447968,997.3,Warszawa,38
2024-02-08,0.1,3.3,14.816574069319882,1016.4729757613642,Warszawa,39
2024-02-09,0.5,6.5,16.5,999.9,Warszawa,40
2024-02-10,4.2,0.1,11.4,997.6,Warszawa,41
2024-02-11,7.4,0.3,14.7,1016.7030982997907,Warszawa,42
2024-02-12,8.4,2.8,7.9,999.0,Warszawa,43
2024-02-13,6.1,0.3,17.1,1013.3,Warszawa,44
2024-02-14,4.806505860327833,0.0,6.6,1016.884623934525,Warszawa,45
2024-02-15,6.2,0.3,8.9,1022.4,Warszawa,46
2024-02-16,8.1,1.7230816857461448,10.4,1021.6,Warszawa,47
2024-02-17,5.063202896973762,0.3,15.0,1022.4,Warszawa,48
2024-02-18,2.9,1.6824353544572537,11.1,1017.032469934464,Warszawa,49
2024-02-19,5.223994507825609,4.5,13.7,1019.8,Warszawa,50
2024-02-20,6.1,4.3,14.6,1017.0588549874589,Warszawa,51
2024-02-21,6.2,0.5,13.112635355597433,1017.6,Warszawa,52
2024-02-22,7.1,2.3,12.976593458364517,1004.4,Warszawa,53
2024-02-23,8.5,1.598689834474082,12.842455038510131,1017.0300456529292,Warszawa,54
2024-02-24,6.9,8.1,10.0,1017.000612345626,Warszawa,55
2024-02-25,7.3,0.0,9.2,1011.0,Warszawa,56
2024-02-26,8.3,1.7,9.3,1009.1,Warszawa,57
2024-02-27,10.8,0.0,7.5,1016.8472439374813,Warszawa,58
2024-02-28,8.9,1.5294547799213296,12.218609130050973,1016.7731035681984,Warszawa,59
2024-02-29,5.969591676230567,0.0,10.7,1021.6,Warszawa,60
2024-03-01,9.0,0.0,20.6,1014.6,Warszawa,61
2024-03-02,7.4,0.0,15.9,1016.4760518617904,Warszawa,62
2024-03-03,6.195661263903966,0.0,11.807109026775676,1016.3508296889786,Warszawa,63
2024-03-04,5.2,0.8,15.9,1012.1,Warszawa,64
2024-03-05,4.1,1.5,9.5,1015.2,Warszawa,65
2024-03-06,5.2,1.4306791451821965,14.7,1022.8,Warszawa,66
2024-03-07,2.3,0.0,10.9,1026.8,Warszawa,67
2024-03-08,2.0,0.0,3.9,1023.5,Warszawa,68
2024-03-09,3.4,1.3794233354087941,10.1,1017.9,Warszawa,69
2024-03-10,7.1,0.0,11.381625489748021,1013.8,Warszawa,70
2024-03-11,5.0,0.0,26.9,1013.1,Warszawa,71
2024-03-12,6.2,1.5,14.4,1012.8,Warszawa,72
2024-03-13,4.6,0.5,5.3,1014.2757107049162,Warszawa,73
2024-03-14,7.168959259086864,0.0,7.4,1018.6,Warszawa,74
2024-03-15,5.8,0.0,11.390929420828048,1016.5,Warszawa,75
2024-03-16,8.6,1.9,11.430907206846946,1013.0,Warszawa,76
2024-03-17,7.49984686421385,1.0,20.0,1018.6,Warszawa,77
2024-03-18,1.4,2.3,14.1,1018.9,Warszawa,78
2024-03-19,3.0,1.1221555575230733,11.636482922864431,1023.3,Warszawa,79
2024-03-20,3.5,0.0,11.735297902774782,1023.8,Warszawa,80
2024-03-21,6.9,1.0481373211622467,8.4,1020.8,Warszawa,81
2024-03-22,8.8,3.3,7.8,1015.1,Warszawa,82
2024-03-23,10.1,2.8,10.7,1010.4255199490805,Warszawa,83
2024-03-24,8.43465723471747,5.1,9.5,1003.7,Warszawa,84
2024-03-25,5.5,0.0,7.8,1003.5,Warszawa,85
2024-03-26,4.4,0.0,13.0,1007.8,Warszawa,86
2024-03-27,11.3,0.0,18.1,999.5,Warszawa,87
2024-03-28,9.09361736040669,0.3,13.146299951179335,993.8,Warszawa,88
2024-03-29,9.27472778808609,2.1,15.0,1007.0976277648439,Warszawa,89
2024-03-30,16.0,0.0,12.8,1005.5,Warszawa,90
2024-03-31,18.4,0.0,13.8,1002.2,Warszawa,91
