time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,City
2024-01-01,5.8,1.3,9.1,1.0,,249.0,9.0,27.8,1008.0,,Wrocław
2024-01-02,4.5,1.6,6.3,6.0,,186.0,14.1,31.5,1004.5,,Wrocław
2024-01-03,8.8,4.4,12.4,8.9,,227.0,17.1,38.9,994.3,,Wrocław
2024-01-04,6.4,1.6,9.0,3.0,,269.0,20.3,48.2,997.7,,Wrocław
2024-01-05,1.5,0.3,3.0,0.2,,120.0,11.9,31.5,1008.2,,Wrocław
2024-01-06,0.9,-1.2,2.4,0.8,,47.0,9.0,22.2,1010.3,,Wrocław
2024-01-07,-4.3,-7.1,-1.6,0.2,,17.0,13.2,27.8,1019.7,,Wrocław
2024-01-08,-8.5,-10.4,-6.6,0.0,,3.0,9.8,24.1,1031.3,,Wrocław
2024-01-09,-11.0,-13.3,-6.7,0.0,10.0,123.0,5.7,20.4,1038.4,,Wrocław
2024-01-10,-10.1,-13.3,-4.8,0.0,,137.0,6.7,20.4,1034.7,,Wrocław
2024-01-11,-4.9,-11.9,-1.0,0.0,10.0,296.0,11.3,29.6,1028.6,,Wrocław
2024-01-12,-1.3,-2.9,0.0,0.0,10.0,296.0,12.3,33.3,1027.7,,Wrocław
2024-01-13,1.3,-0.5,2.3,0.0,10.0,275.0,23.0,48.2,1016.8,,Wrocław
2024-01-14,2.0,1.3,2.8,1.5,,270.0,23.6,48.2,1003.9,,Wrocław
2024-01-15,1.6,0.8,2.7,1.3,,257.0,26.3,55.5,995.8,,Wrocław
2024-01-16,-1.9,-6.4,1.8,2.5,61.0,266.0,9.2,29.6,1006.4,,Wrocław
2024-01-17,-4.2,-10.0,1.3,1.2,,132.0,12.8,29.6,1000.1,,Wrocław
2024-01-18,-0.2,-2.0,2.1,4.2,,320.0,7.7,22.2,995.4,,Wrocław
2024-01-19,-2.7,-9.5,1.2,2.5,99.0,274.0,10.5,35.2,1015.9,,Wrocław
2024-01-20,-1.1,-7.4,1.3,0.0,79.0,271.0,17.6,46.3,1026.8,,Wrocław
2024-01-21,-0.4,-7.6,3.0,0.0,71.0,182.0,12.3,33.3,1030.2,,Wrocław
2024-01-22,3.8,-2.5,7.4,0.0,61.0,195.0,20.0,42.6,1017.9,,Wrocław
2024-01-23,5.2,2.9,6.8,0.0,,248.0,18.9,48.2,1021.0,,Wrocław
2024-01-24,7.7,2.9,12.5,2.5,,250.0,30.0,63.0,1014.2,,Wrocław
2024-01-25,7.1,5.5,8.5,0.2,,289.0,27.0,63.0,1018.7,,Wrocław
2024-01-26,5.3,0.6,8.4,0.0,,255.0,12.9,53.7,1022.2,,Wrocław
2024-01-27,5.2,3.7,6.9,0.0,,293.0,21.8,57.4,1028.9,,Wrocław
2024-01-28,3.5,0.2,7.9,0.0,,242.0,8.6,22.2,1037.4,,Wrocław
2024-01-29,2.2,-2.3,10.5,0.0,,126.0,11.1,25.9,1034.2,,Wrocław
2024-01-30,3.2,-3.6,11.1,0.0,,154.0,6.9,24.1,1032.0,,Wrocław
2024-01-31,5.4,0.1,7.9,0.6,,251.0,13.1,33.3,1031.0,,Wrocław
2024-02-01,4.2,-2.1,7.9,1.1,,267.0,17.6,44.5,1023.5,,Wrocław
2024-02-02,5.4,3.8,8.4,1.7,,266.0,18.3,40.8,1024.5,,Wrocław
2024-02-03,9.1,5.4,10.8,0.0,,279.0,28.2,57.4,1018.0,,Wrocław
2024-02-04,7.8,4.8,9.9,2.8,,287.0,22.4,53.7,1014.9,,Wrocław
2024-02-05,10.0,6.2,11.5,8.8,,279.0,29.0,64.8,1009.5,,Wrocław
2024-02-06,9.8,8.8,11.3,0.5,,261.0,28.4,53.7,1008.3,,Wrocław
2024-02-07,6.5,2.2,10.8,2.8,,271.0,20.4,51.8,1002.4,,Wrocław
2024-02-08,2.7,-0.1,5.2,3.4,,142.0,8.6,20.4,1003.6,,Wrocław
2024-02-09,5.9,1.7,11.6,3.8,,115.0,11.0,25.9,995.5,,Wrocław
2024-02-10,9.2,6.0,14.0,0.9,,111.0,9.6,27.8,993.8,,Wrocław
2024-02-11,9.6,7.6,10.7,1.0,,134.0,17.1,37.0,991.4,,Wrocław
2024-02-12,8.2,4.4,11.1,3.1,,261.0,15.0,35.2,1000.7,,Wrocław
2024-02-13,4.7,-1.1,7.5,0.0,,283.0,9.9,31.5,1017.0,,Wrocław
2024-02-14,4.4,-3.0,10.6,0.0,,171.0,8.8,24.1,1021.7,,Wrocław
2024-02-15,9.3,6.4,13.9,0.0,,180.0,7.4,20.4,1020.8,,Wrocław
2024-02-16,9.8,4.3,14.9,0.0,,162.0,12.3,35.2,1018.6,,Wrocław
2024-02-17,9.9,6.7,11.7,5.8,,283.0,12.9,38.9,1025.7,,Wrocław
2024-02-18,5.6,4.0,7.4,0.0,,111.0,10.5,25.9,1032.0,,Wrocław
2024-02-19,6.9,3.8,9.6,1.0,,247.0,18.6,50.0,1019.7,,Wrocław
2024-02-20,7.5,5.8,9.4,5.8,,277.0,16.2,38.9,1022.2,,Wrocław
2024-02-21,6.7,3.3,9.6,0.7,,220.0,10.7,27.8,1018.8,,Wrocław
2024-02-22,8.8,2.5,10.3,0.3,,185.0,18.6,37.0,1001.4,,Wrocław
2024-02-23,9.4,6.1,10.9,5.6,,197.0,13.4,33.3,998.2,,Wrocław
2024-02-24,6.6,4.0,10.9,7.6,,222.0,12.3,33.3,1005.3,,Wrocław
2024-02-25,5.3,0.5,11.6,0.0,,137.0,7.1,24.1,1008.7,,Wrocław
2024-02-26,7.1,-0.4,13.2,0.0,,109.0,9.3,29.6,1006.2,,Wrocław
2024-02-27,4.3,-0.6,10.8,0.0,,294.0,5.0,16.7,1013.8,,Wrocław
2024-02-28,6.0,4.7,7.2,1.6,,297.0,6.8,18.5,1020.3,,Wrocław
2024-02-29,6.4,4.1,9.1,0.0,,105.0,10.7,27.8,1019.5,,Wrocław
2024-03-01,9.7,5.4,15.5,0.0,,120.0,15.4,31.5,1009.9,,Wrocław
2024-03-02,10.6,7.8,14.2,0.0,,129.0,12.3,27.8,1009.3,,Wrocław
2024-03-03,11.0,6.7,15.0,0.0,,120.0,15.5,38.9,1007.3,,Wrocław
2024-03-04,9.3,6.3,13.9,0.0,,47.0,10.5,24.1,1008.6,,Wrocław
2024-03-05,5.5,4.4,6.7,0.2,,22.0,6.3,18.5,1015.4,,Wrocław
2024-03-06,4.7,1.2,7.5,0.1,,32.0,7.7,22.2,1022.6,,Wrocław
2024-03-07,3.9,2.5,5.3,0.0,,50.0,11.1,29.6,1025.4,,Wrocław
2024-03-08,2.0,-3.0,8.0,0.0,,96.0,10.2,29.6,1022.0,,Wrocław
2024-03-09,5.5,-1.4,10.9,0.0,,127.0,19.1,48.2,1013.4,,Wrocław
2024-03-10,10.3,7.9,14.1,0.0,,109.0,25.4,46.3,1005.8,,Wrocław
2024-03-11,12.2,9.4,16.4,1.4,,98.0,13.5,40.8,1005.2,,Wrocław
2024-03-12,9.4,7.7,11.9,6.7,,335.0,6.7,20.4,1012.1,,Wrocław
