time,tavg,prcp,wspd,pres,City,number
2024-01-01,5.8,2.815774214327084,6.425559019079973,1008.0,Wrocław,1
2024-01-02,4.5,6.0,7.456357903549851,1014.719100673168,Wrocław,2
2024-01-03,8.8,8.9,8.430251502034228,1014.8167457806634,Wrocław,3
2024-01-04,-1.2602170441952396,3.0,20.3,997.7,Wrocław,4
2024-01-05,1.5,0.2,11.9,1008.2,Wrocław,5
2024-01-06,0.9,0.8,9.0,1010.3,Wrocław,6
2024-01-07,-4.3,0.2,13.2,1019.7,Wrocław,7
2024-01-08,-8.5,0.0,9.8,1015.2366956182204,Wrocław,8
2024-01-09,-11.0,0.0,5.7,1038.4,Wrocław,9
2024-01-10,-10.1,0.0,6.7,1034.7,Wrocław,10
2024-01-11,0.3947257135355966,0.0,11.3,1028.6,Wrocław,11
2024-01-12,-1.3,1.593448430365228,12.3,1027.7,Wrocław,12
2024-01-13,1.3,0.0,23.0,1016.8,Wrocław,13
2024-01-14,2.0,1.5,15.748982637088961,1015.5950297682393,Wrocław,14
2024-01-15,1.6,1.3,26.3,995.8,Wrocław,15
2024-01-16,-1.9,2.5,16.487840209329566,1006.4,Wrocław,16
2024-01-17,-4.2,1.2,12.8,1000.1,Wrocław,17
2024-01-18,-0.2,4.2,7.7,995.4,Wrocław,18
2024-01-19,-2.7,1.185011559142916,10.5,1015.9,Wrocław,19
2024-01-20,-1.1,1.1459673962733872,17.6,1015.801631843764,Wrocław,20
2024-01-21,2.3647515575242126,0.0,12.3,1015.8218424305666,Wrocław,21
2024-01-22,3.8,0.0,20.0,1017.9,Wrocław,22
2024-01-23,5.2,0.0,18.9,1015.8503860787594,Wrocław,23
2024-01-24,7.7,1.0314973240178351,30.0,1014.2,Wrocław,24
2024-01-25,3.041492929503736,1.0124872851652826,27.0,1015.8633253943206,Wrocław,25
2024-01-26,5.3,0.0,12.9,1022.2,Wrocław,26
2024-01-27,5.2,0.0,21.8,1015.8609392187515,Wrocław,27
2024-01-28,3.512962827097402,0.0,17.982071065364465,1037.4,Wrocław,28
