time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,City
2024-01-01,2.8,1.6,4.4,12.5,,219.0,7.9,25.9,1006.7,,Warszawa
2024-01-02,4.5,3.6,5.9,1.1,,211.0,9.0,27.8,1005.9,,Warszawa
2024-01-03,5.4,3.2,8.6,10.4,,179.0,9.8,27.8,993.9,,Warszawa
2024-01-04,5.9,-1.5,8.1,13.5,,244.0,11.9,40.8,993.7,,Warszawa
2024-01-05,-1.8,-2.5,4.6,2.8,,274.0,13.7,40.8,1009.8,,Warszawa
2024-01-06,-2.4,-4.0,-1.1,1.3,30.0,58.0,17.1,33.3,1013.6,,Warszawa
2024-01-07,-7.3,-10.3,-2.6,0.3,41.0,37.0,18.2,33.3,1020.8,,Warszawa
2024-01-08,-11.3,-13.4,-9.5,0.0,,30.0,15.9,31.5,1032.1,,Warszawa
2024-01-09,-10.9,-15.1,-5.6,0.0,41.0,255.0,4.9,16.7,1038.3,,Warszawa
2024-01-10,-7.3,-10.7,-4.4,0.0,30.0,270.0,11.6,24.1,1032.8,,Warszawa
2024-01-11,-3.3,-6.8,1.1,0.0,30.0,279.0,17.9,37.0,1022.6,,Warszawa
2024-01-12,-3.4,-7.7,1.1,1.0,41.0,279.0,14.3,48.2,1022.8,,Warszawa
2024-01-13,-0.2,-0.8,0.5,1.7,,256.0,16.1,46.3,1011.9,,Warszawa
2024-01-14,1.2,0.6,1.7,2.4,,251.0,15.6,38.9,998.9,,Warszawa
2024-01-15,0.6,-1.1,1.7,3.3,,235.0,14.6,42.6,991.4,,Warszawa
2024-01-16,-5.5,-11.0,-0.1,1.0,89.0,252.0,14.0,42.6,1004.5,,Warszawa
2024-01-17,-3.7,-7.7,-1.1,1.0,,133.0,11.6,29.6,1003.8,,Warszawa
2024-01-18,0.0,-1.5,1.7,0.9,,271.0,11.4,29.6,993.4,,Warszawa
2024-01-19,-2.1,-4.5,1.2,0.8,99.0,255.0,13.8,31.5,1012.3,,Warszawa
2024-01-20,-0.4,-1.9,0.7,3.2,,255.0,17.4,50.0,1020.8,,Warszawa
2024-01-21,-1.3,-9.0,1.7,0.0,,174.0,8.2,27.8,1031.0,,Warszawa
2024-01-22,2.5,-1.8,5.5,0.3,,174.0,11.1,35.2,1018.6,,Warszawa
2024-01-23,4.6,3.6,6.4,0.0,61.0,240.0,11.7,31.5,1017.6,,Warszawa
2024-01-24,5.2,2.0,8.6,14.0,,225.0,15.8,50.0,1010.5,,Warszawa
